Transect,Point,DFS(m),Surveyor,Lattitude,Longitude,Date,Depth(m),Substrate,Weather,CerDem,ElaSp,EleSp,LemMin,MyrSpi,NajFle,NajMin,PotPer,ValAme
1,1,0,Marna,41.42379,-73.45264,8/27/09,0.2,Muck,sunny,0,0,0,2,0,0,0,0,0
1,2,5,@],41.42384,-73.45266,8/27/09,0.4,Muck,sunny,0,0,0,0,1,0,0,0,0
1,3,10,Marna,41.42388,-73.45266,8/27/09,0.9,Muck,sunny,3,0,0,0,3,0,0,0,0
1,4,20,Marna,41.42396,-73.45273,8/27/09,1.8,Sand,sunny,0,0,0,0,4,0,0,0,0
1,3,30,Marne,41.42407,-73.45273,8/27/09,2,Sand,sunny,3,0,0,0,4,0,0,0,0
1,6,40,Manna,41.442414,-73.4528,8/27/09,2.1,Sand,sunny,0,0,0,0,3,0,0,0,0
1,7,50,Manna,41.42422,-73.45283,8/27/09,2.2,Sand,sunny,0,0,0,0,4,0,0,0,0
1,8,60,Marna,41.42432,-73.45288,8/27/09,2.2,Sand,sunny,0,0,0,0,4,0,0,0,0
1,9,70,Manna,41.42437,-73.45293,8/27/09,2.3,Sand,sunny,0,0,0,0,3,0,0,0,0
1,10,80,Manna,41.42448,-73.45295,8/27/09,2.3,Sand,sunny,0,0,0,0,3,0,0,0,0
2,1,0,Martha,41.4276,-73.449925,8/27/09,0,ND,sunny,0,0,0,0,0,0,0,0,0
2,2,5,Martha,41.42756,-73.44928,8/27/09,0.5,Sand,sunny,0,0,0,0,3,0,0,0,0
2,3,10,Martha,41.42753,-73.44929,8/27/09,2.1,Sand,sunny,4,0,0,0,3,0,0,0,0
2,4,20,Martha,41.42747,-73.4494,8/27/09,3.2,Sand,sunny,3,0,0,0,0,0,0,0,0
2,5,30,Martha,41.42746,-73.44954,8/27/09,3.5,Sand,sunny,5,0,0,0,3,0,0,0,0
2,6,40,Martha,41.42742,-73.44964,8/27/09,2.9,Sand,sunny,2,0,0,0,4,0,0,0,0
2,7,50,Martha,41.42736,-73.44974,8/27/09,1.8,Sand,sunny,0,0,0,0,1,0,0,0,0
2,8,60,Martha,41.42734,-73.44988,8/27/09,3.1,Sand,sunny,0,0,0,0,4,0,0,0,0
2,9,70,Martha,41.42728,-73.44993,8/27/09,3.1,Sand,sunny,0,0,0,0,4,0,0,0,0
2,10,80,Martha,41.42726,-73.4501,8/27/09,3.2,Sand,sunny,0,0,0,0,4,0,0,0,0
3,1,0,Marna,41.4702,-73.43532,8/27/09,0,Sand,sunny,0,3,3,0,0,0,0,0,0
3,2,5,Marna,41.47023,-73.43527,8/27/09,0.3,Sand,sunny,0,0,3,0,0,0,0,0,0
3,3,10,Marna,41.47022,-73.4352,8/27/09,2,Sand,sunny,2,0,0,0,2,1,2,0,0
3,4,20,Manna,41.47023,-73.43509,8/27/09,0,ND,sunny,0,0,0,0,0,0,0,0,0
3,3,30,Marna,41.47026,-73.43494,8/27/09,0,ND,sunny,0,0,0,0,0,0,0,0,0
3,6,40,Marna,41.47027,-73.43482,8/27/09,0,ND,sunny,0,0,0,0,0,0,0,0,0
3,7,50,Marna,41.47026,-73.43469,8/27/09,0,ND,sunny,0,0,0,0,0,0,0,0,0
3,8,60,Marna,41.47029,-73.43457,8/27/09,0,ND,sunny,0,0,0,0,0,0,0,0,0
3,9,70,Marna,41.47026,-73.43447,8/27/09,0,ND,sunny,0,0,0,0,0,0,0,0,0
3,10,80,Marna,41.47021,-73.43432,8/27/09,0,ND,sunny,0,0,0,0,0,0,0,0,0
4,1,0,Martha,41.57117,-73.48831,8/31/09,0.5,Sand,sunny,0,0,0,0,2,0,0,0,0
4,2,5,Martha,41.57115,-73.48836,8/31/09,1.5,Sand,sunny,0,0,0,0,2,0,0,0,0
4,3,10,Martha,41.57111,-73.4884,8/31/09,1,Sand,sunny,0,0,0,0,2,0,0,0,0
