Transect,Point,DFS(m),Surveyor,Lattitude,Longitude,Date,Depth(m),Substrate,CerDem,ElaSp,EleSp,LemMin,MyrSpi,NajMin,NymOdo,PotFol,PotPer,StuPec,ValAme
1,1,1,Greg,41.4238,-73.45255,8/30/12,0.1,Sand,0,0,0,0,3,0,0,0,0,0,0
1,2,5,Greg,41.4239,-73.45257,8/30/12,40,Muck,2,0,0,0,4,0,0,0,0,0,0
1,3,10,Greg,41.4239,-73.45259,8/30/12,0.8,Muck,2,0,0,0,4,0,0,0,0,0,0
1,4,20,Greg,41.424,-73.45263,8/30/12,1,Muck,2,0,0,0,4,0,0,0,0,0,0
1,5,30,Greg,41.4241,-73.45266,8/30/12,1.3,Muck,2,0,0,0,5,0,0,0,0,0,0
1,6,40,Greg,41.4242,-73.4527,8/30/12,1.6,Muck,3,0,0,0,4,0,0,0,0,0,0
1,7,50,Greg,41.4243,-73.45272,8/30/12,2,Muck,3,0,0,0,4,0,0,0,0,0,0
1,8,60,Greg,41.4244,-73.45277,8/30/12,2,Muck,2,0,0,0,4,2,0,0,0,0,0
1,9,70,Greg,41.4245,-73.45284,8/30/12,1.6,Muck,2,0,0,0,4,2,0,0,0,0,0
1,10,80,Greg,41.4245,-73.45288,8/30/12,1.5,Muck,2,0,0,0,5,2,0,0,0,0,0
2,1,0.5,Greg,41.4276,-73.44931,8/30/12,0.1,Sand,0,0,0,0,3,0,0,0,0,0,0
2,2,5,Greg,41.4276,-73.44938,8/30/12,1.8,Sand,2,0,0,0,4,0,0,0,0,0,0
2,3,10,Greg,41.4276,-73.44942,8/30/12,2.5,Sand,0,0,0,0,5,0,0,0,0,0,0
2,4,20,Greg,41.4275,-73.44949,8/30/12,3,Sand,2,0,0,0,4,0,0,0,0,0,0
2,5,30,Greg,41.4275,-73.44958,8/30/12,3,Silt,2,0,0,0,5,0,0,0,0,0,0
2,6,40,Greg,41.4274,-73.44971,8/30/12,1.5,Gravel,0,0,0,0,2,0,0,0,0,0,0
2,7,50,Greg,41.4273,-73.4498,8/30/12,1.6,Gravel,0,0,0,0,2,0,0,0,0,0,0
2,8,60,Greg,41.4273,-73.4499,8/30/12,2.5,Gravel,2,0,0,0,4,0,0,0,0,0,0
2,9,70,Greg,41.4272,-73.44995,8/30/12,3,Silt,0,0,0,0,4,0,0,0,0,0,0
2,10,80,Greg,41.4272,-73.45003,8/30/12,3,Silt,0,0,0,0,4,0,0,0,0,0,0
3,1,0.5,Greg,41.4703,-73.43529,8/30/12,0.2,Gravel,0,2,2,0,2,0,0,0,0,2,0
3,2,5,Greg,41.4703,-73.43523,8/30/12,1,Sand,0,0,0,0,0,2,0,0,0,2,0
3,3,10,Greg,41.4703,-73.43517,8/30/12,2,Silt,0,0,0,0,4,0,0,0,0,0,0
3,4,20,Greg,41.4703,-73.43502,8/30/12,4.2,Silt,0,0,0,0,0,0,0,0,0,0,0
3,5,30,Greg,41.4703,-73.43492,8/30/12,8,Silt,0,0,0,0,0,0,0,0,0,0,0
3,6,40,Greg,41.4703,-73.43479,8/30/12,8.8,Silt,0,0,0,0,0,0,0,0,0,0,0
3,7,50,Greg,41.4703,-73.43467,8/30/12,8.8,Silt,0,0,0,0,0,0,0,0,0,0,0
3,8,60,Greg,41.4703,-73.43458,8/30/12,8.8,Silt,0,0,0,0,0,0,0,0,0,0,0
3,9,70,Greg,41.4703,-73.43443,8/30/12,9,Silt,0,0,0,0,0,0,0,0,0,0,0
3,10,80,Greg,41.4703,-73.43432,8/30/12,9,Silt,0,0,0,0,0,0,0,0,0,0,0
4,1,0.5,Greg,41.5712,-73.48836,8/29/12,0.2,Muck,0,0,0,0,2,0,0,0,0,0,0
4,2,5,Greg,41.5711,-7348837,8/29/12,100,Muck,0,0,0,0,2,0,0,0,0,0,0
4,3,10,Greg,41.5711,-73.4884,8/29/12,80,Muck,0,0,0,0,0,0,0,0,0,0,0
4,4,20,Greg,41.571,-73.48842,8/29/12,150,Muck,0,0,0,0,2,0,2,0,0,0,0
4,5,30,Greg,41.571,-7348846,8/29/12,160,Muck,0,0,0,0,3,0,0,0,0,0,0
4,6,40,Greg,41.5708,-7348854,8/29/12,2,Silt,0,0,0,0,3,0,0,0,0,0,0
