Transect,Point,DFS(m),Surveyor,Lattitude,Longitude,Date,Depth(m),Substrate,CerDem,MyrSpi,NajMin,NymOdo,PotFol,StuPec,ValAme
1,1,0.5,Greg,41.42382,-73.45253,8/20/13,0.1,Sand,0,0,0,0,0,0,0
1,2,5,Greg,41.42386,-73.45256,8/20/13,0.4,Muck,2,2,1,0,0,0,0
1,3,10,Greg,41.4239,-73.45258,8/20/13,1,Muck,2,2,1,0,0,0,0
1,4,20,Greg,41.42398,-73.4526,8/20/13,1,Muck,2,2,1,0,0,0,0
1,5,30,Greg,41.42409,-73.45261,8/20/13,1.3,Muck,0,0,0,0,0,0,0
1,6,40,Greg,41.42417,-73.45269,8/20/13,1.5,Muck,2,0,0,0,0,0,0
1,7,50,Greg,41.42428,-73.45268,8/20/13,1.6,Muck,2,0,2,0,0,0,0
1,8,60,Greg,41.42436,-73.45274,8/20/13,1.5,Muck,2,2,0,0,0,0,0
1,9,70,Greg,41.42442,-73.45281,8/20/13,1.4,Muck,2,2,2,0,0,0,0
1,10,80,Greg,41.4245,-73.45286,8/21/13,1.2,Muck,0,0,3,0,0,0,0
2,1,0.1,Greg,41.42767,-73.44932,8/22/13,0.1,Gravel,2,2,0,0,0,0,0
2,2,5,Greg,41.42764,-73.44937,8/20/13,1,Sand,2,2,2,0,0,0,0
2,3,10,Greg,41.42767,-73.44945,8/20/13,2,Sand,3,0,0,0,0,0,0
2,4,20,Greg,41.42756,-73.44953,8/20/13,2.5,Silt,4,0,0,0,0,0,0
2,5,30,Greg,41.4275,-73.44956,8/20/13,2.8,Sand,2,0,0,0,0,0,0
2,6,40,Greg,41.4275,-73.44974,8/20/13,1.7,Sand,0,0,0,0,0,0,0
2,7,50,Greg,41.42747,-73.44986,8/20/13,2.5,Silt,2,0,0,0,0,0,0
2,8,60,Greg,41.42732,-73.44987,8/20/13,2.6,Silt,2,0,0,0,0,0,0
2,9,70,Greg,41.42726,-73.44997,8/20/13,2.8,Sand,2,0,0,0,0,0,0
2,10,80,Greg,41.42718,-73.45006,8/20/13,2.9,Silt,2,2,0,0,0,0,0
3,1,0.2,Greg,41.47027,-73.43532,8/15/13,0.2,Gravel,0,0,0,0,0,2,0
3,2,5,Greg,41.4703,-73.43527,8/15/13,0.8,Gravel,0,0,2,0,0,2,0
3,3,10,Greg,41.47026,-73.4352,8/15/13,1.6,Sand,0,2,2,0,0,0,0
3,4,20,Greg,41.47027,-73.43507,8/15/13,4,Sand,0,0,0,0,0,0,0
3,5,30,Greg,41.47026,-73.43493,8/15/13,7.8,Silt,0,0,0,0,0,0,0
3,6,40,Greg,41.47028,-73.43485,8/16/13,9,Silt,0,0,0,0,0,0,0
3,7,50,Greg,41.47039,-73.4347,8/17/13,9,Silt,0,0,0,0,0,0,0
3,8,60,Greg,41.47042,-73.4346,8/15/13,9.2,Silt,0,0,0,0,0,0,0
3,9,70,Greg,41.47048,-73.43454,8/15/13,9.2,Silt,0,0,0,0,0,0,0
3,10,80,Greg,41.47038,-73.43437,8/15/13,9.2,Silt,0,0,0,0,0,0,0
4,1,0.2,Greg,41.57124,-73.48836,8/21/13,0.2,Muck,0,2,0,0,0,0,0
4,2,5,Greg,41.57119,-73.48837,821'2013,0.6,Muck,0,2,0,0,0,0,0
4,3,10,Greg,41.57114,-73.48839,8'212013,0.7,Muck,0,0,0,0,0,0,0
4,4,20,Greg,41.57105,-73.48839,8/21/13,1.1,Muck,0,2,0,2,0,0,0
4,5,30,Greg,41.57099,-73.48844,8/21'2013,2,Silt,0,2,0,0,0,0,0
4,6,40,Greg,41.5709,-73.48851,8'212013,2,Silt,0,2,0,0,0,0,0
4,7,50,Greg,41.57083,-73.4886,8/21/13,2.2,Silt,0,0,0,0,0,0,0
4,8,60,Greg,41.57072,-73.48855,0.371215278,2.6,Silt,0,2,0,0,0,0,0
4,9,70,Greg,41.57064,-73.48865,8/21:2013,2.9,Sand,0,0,0,0,0,0,0
4,10,80,Greg,41.57058,-73.48871,8/21/13,3.1,Silt,0,0,0,0,0,0,0
5,1,0.1,Greg,41.50213,-73.45149,8/20/13,0.1,Sand,0,0,0,0,0,0,0
5,2,5,Greg,41.50216,-73.45155,8/20/13,0.5,Sand,0,1,3,0,0,0,0
5,3,10,Greg,41.50213,-73.45162,8/20/13,1.1,Gravel,0,2,3,0,0,0,0
5,4,20,Greg,41.50213,-73.45174,8/20/13,1.5,Sand,0,0,4,0,0,0,0
5,5,30,Greg,41.50207,-73.45184,8/20/13,2,Sand,0,2,2,0,0,0,0
5,6,40,Greg,41.50206,-73.45195,8/20/13,2.2,Sand,0,1,0,0,0,0,0
5,7,50,Greg,41.50199,-73.45204,8/20/13,2.8,Sand,0,2,0,0,0,0,0
5,8,60,Greg,41.50201,-73.45218,8/20/13,3.9,Sand,0,0,0,0,0,0,0
5,9,70,Greg,41.50203,-73.45232,8/20/13,4.9,Silt,0,0,0,0,0,0,0
5,10,80,Greg,41.50202,-73.45245,8/20/13,5,Silt,0,0,0,0,0,0,0
6,1,0.1,Greg,41.51383,-73.45336,8/20'2013,0.1,Muck,0,0,0,0,0,0,0
6,2,5,Greg,41.51389,-73.45337,8'20:2013,0.5,Muck,0,4,0,0,0,0,0
6,3,10,Greg,41.51393,-73.45337,8/20/13,0.8,Muck,0,5,0,0,0,0,0
6,4,20,Greg,41.51401,-73.45338,8'20:2013,1.2,Silt,0,3,0,0,0,0,0
6,5,30,Greg,41.5141,-73.45341,8/20'2013,1.6,Silt,0,3,0,0,0,0,0
6,6,40,Greg,41.51419,-73.45342,8/20/13,2,Silt,0,2,0,0,0,0,0
6,7,50,Greg,41.51428,-73.45342,8202013,2.2,Sand,0,0,0,0,0,0,0
6,8,60,Greg,41.51437,-73.45347,8'20:2013,2.9,Silt,0,2,0,0,0,0,0
6,9,70,Greg,41.51447,-73.45342,8/20'2013,4,Silt,0,0,0,0,0,0,0
6,10,80,Greg,41.51456,-73.4534,8/20/13,4.8,Silt,0,0,0,0,0,0,0
7,1,0.1,Greg,41.57148,-73.44273,8/20/13,0.1,Rock,0,0,0,0,0,0,0
7,2,5,Greg,41.57146,-73.44279,8/20/13,0.8,Gravel,0,1,0,0,0,0,0
7,3,10,Greg,41.57148,-73.44285,8/20/13,1,Gravel,0,2,0,0,0,0,0
7,4,20,Greg,41.57145,-73.44298,8/20/13,1.8,Sand,0,0,0,0,0,0,0
7,5,30,Greg,41.57141,-73.44308,8/20/13,2.6,Rock,0,2,0,0,0,0,0
7,6,40,Greg,41.57141,-73.44321,8/20/13,3.8,Silt,0,0,0,0,0,0,0
7,7,50,Greg,41.57145,-73.44334,8/20/13,5,Rock,0,0,0,0,0,0,0
7,8,60,Greg,41.57141,-73.44346,8/20/13,5.4,Sand,0,0,0,0,0,0,0
7,9,70,Greg,41.57144,-73.44357,8/20/13,5.9,Silt,0,0,0,0,0,0,0
7,10,80,Greg,41.57138,-73.44372,8/20/13,7.4,Silt,0,0,0,0,0,0,0
8,1,0.2,Greg,41.51295,-73.44118,8/20/13,0.2,Gravel,0,0,0,0,0,0,0
8,2,5,Greg,41.51293,-73.44113,8/20/13,1,Gravel,0,0,1,0,1,0,0
8,3,10,Greg,41.51286,-73.44115,8/20/13,1.5,Gravel,0,2,3,0,2,0,0
8,4,20,Greg,41.51277,-73.44116,8/20/13,1.8,Sand,0,2,2,0,2,0,0
8,5,30,Greg,41.51268,-73.44115,8/20/13,2.5,Gravel,0,0,0,0,0,0,0
8,6,40,Greg,41.51257,-73.44114,8/20/13,3.5,Gravel,0,2,0,0,0,0,0
8,7,50,Greg,41.51249,-73.44118,8/20/13,3.5,Gravel,0,0,0,0,0,0,0
8,8,60,Greg,41.51238,-73.44119,8/20/13,3.8,Sand,2,2,0,0,0,0,0
8,9,70,Greg,41.51231,-73.44122,8/20/13,4,Sand,0,2,0,0,0,0,0
8,10,80,Greg,41.51225,-73.44115,8/20/13,5,Sand,0,0,0,0,0,0,0
9,1,0.1,Greg,41.48052,-73.43465,8/20/13,0.1,Sand,0,2,2,0,0,0,0
9,2,5,Greg,41.4805,-73.43471,8/20/13,0.8,Sand,0,0,1,0,0,0,0
9,3,10,Greg,41.48052,-73.43478,8/21/13,0.6,Sand,0,0,0,0,0,0,0
9,4,20,Greg,41.48045,-73.43488,8/20/13,1.3,Sand,0,0,0,0,0,0,0
9,5,30,Greg,41.48046,-73.43501,8/20/13,1.7,Silt,0,0,0,0,0,0,0
9,6,40,Greg,41.48041,-73.43512,8/20/13,2.1,Silt,0,0,0,0,0,0,0
9,7,50,Greg,41.48036,-73.43523,8/20/13,2.1,Silt,0,0,0,0,0,0,0
9,8,60,Greg,41.48041,-73.43536,8/20/13,2,Silt,0,0,1,0,0,0,0
9,0,70,Greg,41.48031,-73.43547,8/20/13,1.6,Silt,0,0,0,0,0,0,0
9,10,80,Greg,41.48014,-73.43547,8/20/13,1.2,Sand,0,0,0,0,1,0,0
10,1,0.2,Greg,41.44736,-73.42951,8/21/13,0.2,Sand,0,2,0,0,1,0,0
10,2,5,Greg,4144731,-73.42956,8/21/13,0.5,Sand,2,2,0,0,0,0,2
10,3,10,Greg,41.44729,-73.42961,8/21/13,0.7,Sand,2,2,0,0,0,0,2
10,4,20,Greg,41.44725,-73.42966,8/21/13,0.8,Silt,0,0,0,0,0,0,3
10,5,30,Greg,41.44722,-73.42983,8/21/13,0.8,Sand,0,2,0,0,0,0,2
10,6,40,Greg,41.44712,-73.42991,8/21/13,0.3,Sand,2,2,0,0,0,0,0
10,7,50,Greg,41.4471,-73.42997,8/21/13,0.1,Sand,2,2,0,0,1,0,0
