Transect,Point,DFS(m),Surveyor,Lattitude,Longitude,Date,Depth(m),Substrate,CerDem,ElaSp,EleSp,MyrSpi,NajMin,NymOdo,StuPec,ValAme
1,1,0.5,Greg,41.4239,-73.45258,9/3/16,0.2,Sand,0,0,0,3,0,0,0,0
1,2,10,Greg,41.42393,-73.45258,9/4/16,0.3,Sand,2,0,0,3,0,0,0,0
1,3,10,Greg,41.42394,-73.45259,9/5/16,0.6,Sand,3,0,0,3,2,0,0,0
1,4,20,Greg,41.42404,-73.45268,9/6/16,1,Sand,3,0,0,3,0,0,0,0
1,5,30,Greg,41.42413,-73.45275,9/7/16,1,Sand,3,0,0,4,0,0,0,0
1,6,40,Greg,41.42421,-73.45281,9/8/16,1.6,Sand,3,0,0,4,0,0,0,0
1,7,50,Greg,41.42431,-73.45276,9/9/16,1.6,Sand,2,0,0,5,0,0,0,0
1,8,60,Greg,41.42437,-73.45288,9/10/16,1.8,Sand,2,0,0,5,0,0,0,0
1,9,70,Greg,41.42447,-73.45287,9/11/16,1.8,Sand,2,0,0,5,0,0,0,0
1,10,80,Greg,41.42455,-73.45294,9/12/16,1.8,Sand,2,0,0,4,0,0,0,0
2,1,0.5,Greg,41.42765,-73.44935,9/13/16,0.2,Muck,2,0,0,2,0,0,0,0
2,2,5,Greg,41.42764,-73.44942,9/14/16,1.5,Sand,3,0,0,4,0,0,0,0
2,3,10,Greg,41.42756,-73.4494,9/15/16,2,Silt,3,0,0,4,0,0,0,0
2,4,20,Greg,41.42754,-73.44951,9/16/16,2.2,Silt,3,0,0,4,0,0,0,0
2,5,30,Greg,41.42742,-73.44961,9/17/16,2.4,Silt,3,0,0,4,0,0,0,0
2,6,40,Greg,41.4274,-73.44971,9/18/16,1,Gravel,0,0,0,2,0,0,0,0
2,7,50,Greg,41.42738,-73.44984,9/19/16,1,Gravel,2,0,0,3,0,0,0,0
2,8,60,Greg,41.42735,-73.44995,9/20/16,2.6,Gravel,2,0,0,3,0,0,0,0
2,9,70,Greg,41.42731,-73.45005,9/21/16,2.8,Silt,2,0,0,3,0,0,0,0
2,10,80,Greg,41.42721,-73.45017,9/22/16,2.8,Silt,2,0,0,3,0,0,0,0
3,1,0.5,Greg,41.47027,73.43528,9/23/16,0.2,Gravel,0,0,3,2,0,0,2,0
3,2,5,Greg,41.47024,-73.43522,9/24/16,1,Sand,0,0,1,2,2,0,2,0
3,3,10,Greg,41.4703,-73.43517,9/25/16,1.4,Sand,0,0,0,4,0,0,2,0
3,4,20,Greg,41.47028,-73.43504,9/26/16,5,Silt,0,0,0,0,0,0,2,0
3,5,30,Greg,41.47031,-73.43497,9/27/16,5,Silt,0,0,0,0,0,0,2,0
3,6,40,Greg,41.47031,-73.43479,9/28/16,8.7,Silt,0,0,0,0,0,0,2,0
3,7,50,Greg,41.47036,-73.4347,9/29/16,8.8,Silt,0,0,0,0,0,0,2,0
3,8,60,Greg,41.47042,-73.43458,9/30/16,8.8,Silt,0,0,0,0,0,0,2,0
3,0,70,Greg,41.47054,-73.43448,10/1/16,8.8,Silt,0,0,0,0,0,0,2,0
3,10,80,Greg,41.47051,-73.4344,10/2/16,8,Silt,0,0,0,0,0,0,2,0
4,1,0.5,Greg,41.57121,-73.48836,10/3/16,0.2,Muck,2,0,0,3,0,0,0,0
4,2,5,Greg,41.5712,-73.48837,10/4/16,0.8,Muck,0,0,0,3,0,0,0,0
4,3,10,Greg,41.57115,-73.48838,10/5/16,0.8,Muck,0,0,0,3,0,0,0,0
4,4,20,Greg,41.57112,-73.48834,9/2/16,0.8,Muck,0,0,0,3,0,0,0,0
4,5,30,Greg,41.57102,-73.48843,9/2/16,0.8,Muck,0,0,0,2,0,2,0,0
4,6,40,Greg,41.57087,-73.48852,9/2/16,15,Muck,3,0,0,3,0,0,0,0
4,7,50,Greg,41.57081,-73.4886,9/2/16,1.8,Muck,0,0,0,3,0,0,0,0
4,8,60,Greg,41.57073,-73.4886,9/2/16,2,Muck,2,0,0,3,0,0,0,0
4,9,70,Greg,41.57067,-73.48862,9/2/16,2.5,Muck,2,0,0,3,0,0,0,0
4,10,80,Greg,41.57055,-73.48871,9/2/16,3,Silt,3,0,0,2,0,0,0,0
5,1,0.5,Greg,41.50214,-73.45155,9/2/16,0.2,Sand,0,0,0,0,0,0,0,0
5,2,5,Greg,41.50215,-73.45166,9/2/16,0.6,Sand,0,0,0,0,0,0,0,0
5,3,10,Greg,41.50212,-73.45169,9/2/16,1,Sand,0,0,0,4,0,0,0,0
5,4,20,Greg,41.50209,-73.45184,9/2/16,1.2,Silt,0,0,0,4,0,0,0,0
5,5,30,Greg,41.50208,-73.45192,9/2/16,1.4,Silt,0,0,0,4,0,0,0,0
5,6,40,Greg,41.50198,-73.45203,9/2/16,2.2,Silt,0,0,0,4,0,0,0,0
