Transect,Point,DFS(m),Surveyor,Lattitude,Longitude,Date,Depth(m),Substrate,CerDem,ElaSp,EleSp,LemMin,MyrSpi,NajMin,NymOdo,Typha,ZebMsc
1,1,0.5,Summer,41.42378,-73.4526,9/8/20,0.1,Sand,0,0,0,0,3,0,0,0,0
1,2,5,Summer,41.42383,-73.45262,9/8/20,0.3,Sand,0,0,0,0,4,0,0,0,0
1,3,10,Summer,41.42388,-73.45264,9/8/20,0.5,Muck,0,0,0,0,4,0,0,0,0
1,4,20,Summer,41.42396,-73.45267,9/8/20,0.6,Muck,0,0,0,0,5,0,0,0,0
1,5,30,Summer,41.42405,-73.45274,9/8/20,1.5,Muck,0,0,0,0,3,0,0,0,0
1,6,40,Summer,41.42414,-73.45277,9/8/20,1.5,Muck,0,0,0,0,3,0,0,0,0
1,7,50,Summer,41.42423,-73.4528,9/8/20,1.8,Muck,0,0,0,0,3,0,0,0,0
1,8,60,Summer,41.42433,-73.45282,9/8/20,1.8,Muck,0,0,0,0,5,0,0,0,0
1,9,70,Summer,41.4244,-73.45287,9/8/20,1.8,Muck,0,0,0,0,5,0,0,0,0
1,10,80,Summer,41.42446,-73.45291,9/8/20,1.8,Muck,0,-6,0,0,5,0,0,0,0
2,1,0.5,Summer,41.42763,-73.44928,9/8/20,0.1,Sand,0,0,0,0,0,0,0,0,0
2,2,5,Summer,41.42758,-73.4493,9/8/20,0.2,Muck,0,0,0,0,0,0,0,0,0
2,3,10,Summer,41.42752,-73.44935,9/8/20,1.2,Muck,0,0,0,0,3,0,0,0,0
2,4,30,Summer,41.42746,-73.44944,9/8/20,2.5,Muck,0,0,0,0,3,0,0,0,0
2,5,30,Summer,41.42741,-73.44953,9/8/20,2.5,Muck,0,0,0,0,3,0,0,0,0
2,6,40,Summer,41.42738,-73.44966,9/8/20,2.5,Muck,0,0,0,0,4,0,0,0,0
2,7,50,Summer,41.42729,-73.44971,9/8/20,2.5,Muck,0,0,0,0,3,0,0,0,0
2,8,60,Summer,41.42725,-73.4498,9/8/20,2.5,Muck,0,0,0,0,3,0,0,0,0
2,9,70,Summer,41.42719,-73.44992,9/8/20,2.8,Muck,0,0,0,0,3,0,0,0,0
2,10,80,Summer,41.42715,-73.45,9/8/20,2.8,Muck,0,0,0,0,3,0,0,0,0
3,1,0.5,Greg,41.47023,-73.43529,9/14/20,0.1,Gravel,0,2,3,0,1,0,0,2,0
3,2,5,Greg,41.47027,-73.43526,9/14/20,1.2,Sand,0,0,0,0,2,0,0,2,0
3,3,10,Greg,41.47031,-73.43523,9/14/20,1.5,Sand,0,0,0,0,4,0,0,2,0
3,4,20,Greg,41.47027,_-73.43505,9/14/20,6.5,Sand,0,0,0,0,0,0,0,2,0
3,5,30,Greg,41.47028,-73.43494,9/14/20,9.8,Sand,0,0,0,0,0,0,0,2,0
3,6,40,Greg,41.47034,-73.43483,9/14/20,11.8,Sand,0,0,0,0,0,0,0,2,0
3,7,30,Greg,41.47039,-73.43472,9/14/20,10.8,Sand,0,0,0,0,0,0,0,2,0
3,8,60,Greg,41.47045,_-73.43463,9/14/20,12,Silt,0,0,0,0,0,0,0,2,0
3,9,70,Greg,41.47047,-73.43452,9/14/20,12,Silt,0,0,0,0,0,0,0,2,0
3,10,80,Greg,41.47052,-73.4344,9/14/20,11,Silt,0,0,0,0,0,0,0,2,0
4,1,0.5,Greg,41.57123,-73.48835,9/11/20,0.1,Muck,2,0,0,0,3,0,0,0,0
4,2,10,Greg,41.57116,-73.48839,9/11/20,0.4,Muck,2,0,0,0,2,0,0,0,0
4,3,10,Greg,41.57114,-73.48839,9/11/20,1,Muck,2,0,0,0,2,0,0,0,0
4,4,20,Greg,41.57105,-73.48845,9/11/20,1.5,Muck,2,0,0,0,2,0,2,0,0
4,5,,Greg,41.57098,-73.48851,9/11/20,1.8,Muck,2,0,0,0,3,0,2,0,0
4,6,40,Greg,41.57087,-73.48852,9/11/20,1.9,Muck,2,0,0,0,3,0,0,0,0
4,7,50,Greg,41.5708,-73.48857,9/11/20,2.4,Muck,2,0,0,0,2,0,0,0,0
4,8,60,Greg,41.57073,-73.48861,9/11/20,2.8,Muck,0,0,0,0,0,-6,0,0,0
4,9,70,Greg,41.57064,-73.48862,9/11/20,3.3,Muck,0,0,0,0,0,0,0,0,0
4,10,80,Greg,41.57055,_-73.48870,9/11/20,3.5,Muck,0,0,0,0,0,0,0,0,0
5,1,0.5,Greg,41.5022,-73.4515,9/17/20,0.1,Sand,0,0,0,0,1,0,0,0,0
5,2,5,Greg,41.50219,-73.45156,9/17/20,0.8,Sand,0,0,0,0,2,0,0,0,0
5,3,10,Greg,41.50221,-73.45163,9/17/20,1,Sand,0,0,0,0,2,0,0,0,0
5,4,20,Greg,41.50216,-73.45175,9/17/20,1.8,Sand,0,0,0,0,4,2,0,0,0
5,5,30,Greg,41.50216,-73.45185,9/17/20,1.8,Sand,0,0,0,0,4,0,0,0,0
5,6,40,Greg,41.50215,-73.45198,9/17/20,2.3,Sand,0,0,0,0,4,0,0,0,0
5,7,50,Greg,41.50215,-73.45209,9/17/20,3,Sand,0,0,0,0,4,0,0,0,0
5,8,60,Greg,41.5021,-73.45221,9/17/20,5,Silt,0,0,0,0,3,0,0,0,0
5,9,70,Greg,41.50212,-73.45236,9/17/20,5.2,Silt,0,0,0,0,2,0,0,0,0
5,10,80,Greg,41.5021,-73.45246,9/17/20,5.5,Silt,0,0,0,0,1,0,0,0,0
6,1,0.5,Greg,41.51381,-73.45329,9/17/20,0.1,Muck,2,0,0,2,2,0,0,0,0
6,2,5,Greg,41.51391,-73.45337,9/17/20,0.8,Muck,2,0,0,0,5,0,0,0,0
6,3,10,Greg,41.51397,-73.4533,9/17/20,1,Muck,0,0,0,0,4,0,0,0,0
6,4,20,Greg,41.51406,_-73.45333,9/17/20,1.6,Muck,2,0,0,0,3,0,0,0,0
6,5,30,Greg,41.51414,-73.45333,9/17/20,1.8,Muck,2,0,0,0,3,0,0,0,0
6,6,,Greg,41.51423,-73.45337,9/17/20,2,Sand,0,0,0,0,4,0,0,0,0
6,7,50,Greg,41.51432,-73.4534,9/17/20,2.3,Sand,0,0,0,0,4,0,0,0,0
6,8,60,Greg,41.5144,-73.45339,9/17/20,2.8,Sand,0,0,0,0,4,0,0,0,0
6,9,70,Greg,41.51447,_-73.45341,9/17/20,4.6,Silt,4,0,0,0,0,0,0,0,0
6,10,80,Greg,41.51458,-73.4534,9/17/20,5.8,Silt,0,0,0,0,0,0,0,0,0
7,1,0.5,Greg,41.57154,-73.44275,9/14/20,0.1,Sand,0,2,2,0,2,0,0,2,0
7,2,5,Greg,41.57151,-73.44283,9/14/20,0.8,Sand,2,2,0,0,4,0,0,2,0
7,3,10,Greg,41.57151,-73.44289,9/14/20,1.5,Sand,2,0,0,0,4,0,0,2,0
7,4,20,Greg,41.57151,-73.44298,9/14/20,2.4,Sand,2,0,0,0,4,0,0,2,0
7,5,30,Greg,41.57153,-73.44314,9/14/20,2.8,Silt,0,0,0,0,4,0,0,2,0
7,6,40,Greg,41.5715,-73.44321,9/14/20,3.7,Silt,0,0,0,0,4,0,0,2,0
7,7,50,Greg,41.57148,-73.44337,9/14/20,5,Silt,0,0,0,0,3,0,0,2,0
7,8,60,Greg,41.57143,-73.44346,9/14/20,11.2,Silt,0,0,0,0,0,0,0,2,0
7,9,70,Greg,41.57146,-73.44361,9/14/20,12.1,Silt,0,0,0,0,0,0,0,2,0
7,10,80,Greg,41.57145,-73.44371,9/14/20,13.4,Silt,0,0,0,0,0,0,0,2,0
8,1,0.5,Greg,41.51294,-73.44121,9/14/20,0.2,Sand,0,0,2,0,0,0,0,2,0
8,2,5,Greg,41.51291,-73.44121,9/14/20,0.2,Sand,0,0,2,0,0,0,0,2,0
8,3,10,Greg,41.51285,-73.44119,9/14/20,1.2,Sand,0,0,0,0,3,2,0,2,0
8,4,20,Greg,41.51278,-73.44116,9/14/20,2,Sand,0,0,0,0,3,2,0,2,0
8,5,30,Greg,41.51268,-73.44113,9/14/20,3,Silt,0,0,0,0,4,0,0,2,0
8,6,40,Greg,41.51259,-73.44113,9/14/20,4.3,Silt,0,0,0,0,4,0,0,2,0
8,7,50,Greg,41.51249,-73.44114,9/14/20,5.8,Silt,0,0,0,0,0,0,0,2,0
8,8,60,Greg,41.5124,-73.44118,9/14/20,4.2,Silt,0,0,0,0,4,0,0,2,0
8,9,70,Greg,41.51232,-73.44123,9/14/20,4.2,Silt,0,0,0,0,4,0,0,2,0
8,10,80,Greg,41.51222,-73.44129,9/14/20,4.6,Silt,0,0,0,0,4,0,0,2,0
9,1,0.5,Greg,41.4805,-73.43465,9/14/20,0.1,Sand,0,0,0,0,2,0,0,2,0
9,2,5,Greg,41.48048,-73.43471,9/14/20,0.8,Sand,0,0,0,0,2,0,0,2,0
9,3,10,Greg,41.48049,-73.43478,9/14/20,1.4,Sand,0,0,0,0,3,0,0,2,0
9,4,20,Greg,41.48046,-73.43489,9/14/20,1.7,Sand,0,0,0,0,3,0,0,2,0
9,5,30,Greg,41.48046,-73.43502,9/14/20,2.1,Sand,0,0,0,0,1,0,0,2,0
9,6,40,Greg,41.48041,-73.43513,9/14/20,2.4,Sand,0,0,0,0,2,0,0,2,0
9,7,50,Greg,41.48037,-73.43523,9/14/20,2.4,Sand,0,0,0,0,2,0,0,2,0
9,8,60,Greg,41.48039,-73.43537,9/14/20,2.4,Sand,0,0,0,0,2,0,0,2,0
9,9,70,Greg,41.48039,-73.43546,9/14/20,2,Sand,0,0,0,0,4,0,0,2,0
9,10,80,Greg,41.48037,-73.43558,9/14/20,1.7,Sand,0,0,0,0,4,0,0,2,0
10,1,0.5,Greg,41.44736,-73.42952,9/14/20,0.2,Sand,0,0,0,0,5,0,0,0,0
