Transect,Point,DFS(m),Surveyor,Lattitude,Longitude,Date,Depth(m),Substrate,CerDem,ElaSp,EleSp,LemMin,MyrSpi,NajMin,NymOdo,SpiPol,StuPec,ValAme
1,1,0.2,Gre0,41.42385,-73.45252,8/23/10,0.1,Sand,0,0,0,0,0,0,0,0,0,0
1,2,5,Gre0,41.4239,-73.45254,8/24/10,0.4,Sand,1,0,0,0,4,2,0,0,0,0
1,3,10,Gre0,41.42394,-73.45259,8/25/10,1,Silt,3,0,0,0,3,0,0,0,0,0
1,4,20,Greg,41.42403,-73.4526,8/26/10,2,Sand,2,0,0,0,2,0,0,0,0,0
1,5,30,Greg,41.4241,-73.45266,8/27/10,1.5,Sand,3,0,0,0,3,0,0,0,0,0
1,6,40,Greg,41.42418,-73.45273,8/28/10,1.8,Sand,3,0,0,0,0,0,0,0,0,0
1,7,50,Greg,41.42427,-73.45277,8/29/10,1.8,Sand,4,0,0,0,4,0,0,0,0,0
1,8,50,Greg,41.42433,-73.45281,8/30/10,1.9,Sand,3,0,0,0,3,0,0,0,0,0
1,9,70,Greg,41.42443,-73.45292,8/31/10,2,Silt,3,0,0,0,2,0,0,0,0,0
1,10,80,Greg,41.42449,-73.453,9/1/10,2,Silt,2,0,0,0,3,0,0,0,0,0
2,1,1,Greg,41.42763,-73.44931,9/2/10,0.1,Gravel,0,2,0,0,3,0,0,0,0,0
2,2,5,Greg,41.4276,-73.44935,9/3/10,1.6,Gravel,3,0,0,0,3,0,0,0,0,0
2,3,10,Greg,41.42757,-73.44941,9/4/10,2.1,Silt,3,0,0,0,2,0,0,0,0,0
2,4,20,Greg,41.42748,-73.44947,9/5/10,3.1,Silt,4,0,0,0,2,0,0,0,0,0
2,5,30,Greg,41.42743,-73.44959,9/6/10,3,Silt,0,0,0,0,2,0,0,0,0,0
2,6,40,Greg,41.42741,-73.44971,9/7/10,1.3,Rock,0,0,0,0,0,0,0,0,0,0
2,7,50,Greg,41.42737,-73.44978,9/8/10,1.3,Rock,0,0,0,0,3,0,0,0,0,0
2,8,60,Greg,41.4273,-73.44988,9/9/10,3,Sand,0,0,0,0,2,0,0,0,0,0
2,9,70,Greg,41.42721,-73.44995,9/10/10,3,Sand,0,0,0,0,2,0,0,0,0,0
2,10,80,Greg,41.42722,-73.45009,9/11/10,3,Silt,0,0,0,0,3,0,0,0,0,0
3,1,0.1,(sre0,41.4702,-73.43528,9/12/10,0.1,Gravel,0,0,0,0,4,0,0,0,2,0
3,2,5,(re0,41.47024,-73.43523,9/13/10,0.9,Sand,0,0,0,0,4,2,0,0,4,0
3,3,10,re0,41.47023,-73.43516,9/14/10,2,Sand,0,0,0,0,1,0,0,0,0,0
