Transect,Point,DFS(m),Surveyor,Lattitude,Longitude,Date,Depth(m),Substrate,CerDem,ElaSp,EleSp,MyrSpi,NajMin,NymOdo,PotFol,PotPer,StuPec,ValAme
1,1,5,Greg,41.42374,-73.45248,9/2/14,0.2,Muck,2,0,0,0,0,0,0,0,0,0
1,2,5,Greg,41.42379,-73.46252,9/3/14,0.2,Muck,2,0,0,1,2,0,0,0,0,0
1,3,10,Greg,41.42384,-73.45253,9/4/14,0.5,Sand,3,0,0,5,3,0,0,0,0,0
1,4,20,(Sreg,41.42392,-73.45259,9/5/14,0.7,Sand,2,0,0,5,4,0,0,0,0,0
1,5,32,Greg,41.42401,-73.4562,9/6/14,1.5,Muck,2,0,0,5,5,0,0,0,0,0
1,0,40,(Greg,41.42409,-73.4562,9/7/14,1.8,Muck,0,0,0,5,0,0,0,0,0,0
1,7,50,Gre0,41.4241,-73.45267,9/8/14,1.9,Muck,2,0,0,5,0,0,0,0,0,0
1,8,60,Greg,41.42429,-73.45272,9/9/14,1.9,Muck,2,0,0,4,2,0,0,0,0,0
1,9,70,Greg,41.42436,-73.45277,9/10/14,1.9,Muck,0,0,0,5,4,0,0,0,0,0
4,10,80,Greg,41.42444,-73.4528,9/11/14,1.9,Muck,1,0,0,4,3,0,0,0,0,0
2,1,5,Greg,41.42762,-73.44926,9/12/14,0.2,Sand,2,0,0,1,0,0,0,0,0,0
2,2,5,Greg,41.42759,-73.44937,9/13/14,0.5,Sand,2,0,0,4,2,0,0,0,0,0
2,3,10,Greg,41.42757,-73.44944,9/14/14,2,Muck,2,0,0,0,2,0,0,0,0,0
2,4,20,Greg,41.42753,-73.44944,9/15/14,3.2,Muck,4,0,0,3,0,0,0,0,0,0
2,5,30,Greg,41.42745,-73.44959,9/16/14,3.4,Muck,3,0,0,4,0,0,0,0,0,0
2,6,40,Greg,41.42739,-73.4497,9/17/14,2.1,Muck,0,0,0,3,1,0,0,0,0,0
2,7,50,Greg,41.42738,-73.44978,9/18/14,1.3,Muck,2,0,0,2,0,0,0,0,0,0
2,8,60,Greg,41.42732,-734499,9/19/14,2.9,Muck,2,0,0,4,0,0,0,0,0,0
2,0,70,Greg,41.42728,-73.44999,9/20/14,3,Muck,4,0,0,4,0,0,0,0,0,0
