Transect,Point,DFS(m),Surveyor,Lattitude,Longitude,Date,Depth(m),Substrate,CerDem,ElaSp,EleSp,MyrSpi,NajMin,NymOdo,PotPer,SpiPol,StuPec,ValAme
1,1,0.5,Greg,41.4238,-73.45257,8/31/15,0.2,Muck,2,0,0,4,2,0,0,0,0,0
1,2,5,Greg,41.42384,-73.45257,8/31/15,0.4,Sand,3,0,0,4,0,0,0,0,0,0
1,3,10,Greg,41.42388,-73.45259,8/31/15,0.8,Muck,4,0,0,4,0,0,0,2,0,0
1,4,20,Greg,41.42398,-7345265,8/31/15,1.3,Muck,3,0,0,4,0,0,0,0,0,0
1,5,30,Greg,41.42407,-73.45266,8/31/15,1.6,Sand,2,9,0,4,0,0,0,0,0,0
1,6,40,Greg,41.42414,-73.45271,8/31/15,1.8,Sand,2,0,0,4,0,0,0,0,0,0
1,7,50,Greg,41.42425,-7345273,8/31/15,2,Sand,0,0,0,4,0,0,0,0,0,0
1,8,60,Greg,41.42431,-73.4528,8/31/15,2,Sand,0,0,0,4,0,0,0,0,0,0
1,9,70,Greg,41.42442,-73.45284,8/31/15,2.1,Silt,0,0,0,4,0,0,0,0,0,0
1,10,0.5,Greg,41.42448,-73.45291,8/31/15,2.1,Silt,0,0,0,4,0,0,0,0,0,0
2,1,5,Greg,41.42763,-73.4493,8/31/15,0.2,Gravel,3,0,0,5,0,0,0,0,0,0
2,2,5,Greg,41.4276,-73.44935,8/31/15,1.3,Gravel,3,0,0,5,0,0,0,0,0,0
2,3,10,Greg,41.42756,-73.44936,8/31/15,2,Sand,3,0,0,4,0,0,0,0,0,0
2,4,20,Greg,41.42751,-7344948,8/31/15,2.5,Sand,4,0,0,0,0,0,0,0,0,0
2,5,30,Greg,41.42746,-73.4496,8/31/15,2.8,Silt,3,0,0,4,0,0,0,0,0,0
2,6,40,Greg,41.42743,-73.44971,8/31/15,1.5,Gravel,2,0,0,4,0,0,0,0,0,0
2,7,50,Greg,41.42736,73.44979,8/31/15,1.4,Gravel,0,0,0,0,0,0,0,0,0,0
2,8,60,Greg,41.42733,-73.44987,9/1/15,2.3,Silt,0,0,0,4,0,0,0,0,0,0
2,9,70,Greg,41.42726,-73.44997,8/31/15,2.6,Silt,0,0,0,4,0,0,0,0,0,0
2,10,80,Greg,41.42722,-72.45013,8/31/15,2.3,Silt,0,0,0,4,0,0,0,0,0,0
3,1,0.5,Greg,41.47027,-7343532,8/27/15,0.2,Sand,0,0,2,2,0,0,0,0,4,0
3,2,5,Greg,41.47026,-73.43526,8/27/15,0.8,Sand,0,0,0,2,3,0,0,0,0,0
3,3,10,Greg,41.47027,-73.43518,8/27/15,2,Sand,0,0,0,0,0,0,0,0,0,0
3,4,20,Greg,41.47027,-7343508,8/27/15,4.5,Sand,0,0,0,0,0,0,0,0,0,0
3,5,30,Greg,41.47034,-73.43495,8/27/15,8,Silt,0,0,0,0,0,0,0,0,0,0
2,6,40,Greg,41.47034,-73.43484,8/27/15,9,Silt,0,0,0,0,0,0,0,0,0,0
3,7,$0 ,Greg,41.47038,-73.43471,8/27/15,9.2,Silt,0,0,0,0,0,0,0,0,0,0
3,8,60,Greg,41.47043,-73.43462,8/27/15,9.2,Silt,0,0,0,0,0,0,0,0,0,0
3,9,70,Greg,41.47051,-73.43452,8/27/15,9.2,Sill,0,0,0,0,0,0,0,0,0,0
3,10,80,Greg,41.47052,-73.4344,8/27/15,9.2,Silt,0,0,0,0,0,0,0,0,0,0
