Transect,Point,DFS(m),Surveyor,Lattitude,Longitude,Date,Depth(m),Substrate,CerDem,EleSp,LemMin,MyrSpi,NajMin,NymOdo,ValAme
1,1,0.5,Greg,41.42381,-73.45253,8/22/17,0.3,Muck,3,0,e0,3,0,0,0
1,2,5,Greg,41.42386,-73.45253,8/23/17,0.5,Sand,3,20,0,3,0,0,0
1,3,10,Greg,41.42388,-73.45256,8/24/17,1,Sand,2,80,0,2,0,0,0
1,4,20,Greg,41.42402,-73.45265,8/25/17,1.2,Muck,2,0,0,2,0,0,0
1,5,30,Greg,41.42409,-73.45268,8/26/17,1.5,Muck,2,0,0,2,0,0,0
1,6,40,Greg,41.42416,-73.45272,8/27/17,2,Muck,3,0,0,2,0,0,0
1,7,50,Greg,41.42423,-73.45272,8/28/17,2,Muck,3,0,0,2,0,0,0
1,8,60,Greg,41.42432,-73.45276,8/29/17,2,Muck,2,0,0,2,0,0,0
1,9,70,Greg,41.4244,-73.45281,8/30/17,1.5,Muck,2,0,0,3,0,0,0
1,10,80,Greg,41.42448,-73.45288,8/31/17,1.5,Muck,2,0,0,3,0,0,0
2,1,0.5,Greg,41.42767,-73.44931,9/1/17,0.2,Sand,0,0,0,0,0,0,0
2,2,5,Greg,41.42758,-73.4494,9/2/17,2,Sand,3,0,0,3,0,0,0
2,3,10,Greg,41.42757,-73.44939,9/3/17,2.6,Muck,3,0,0,3,0,0,0
2,4,20,Greg,41.42747,-73.44951,9/4/17,2.5,Silt,4,0,0,0,0,0,0
2,5,30,Greg,41.42744,-73.4496,9/5/17,3.3,Silt,3,0,0,3,0,0,0
2,6,40,Greg,41.42739,-73.4497,9/6/17,1.5,Gravel,2,0,0,3,0,0,0
2,7,50,Greg,41.4273,-73.4498,9/7/17,3,Gravel,0,0,0,3,0,0,0
2,8,60,Greg,41.42722,-73.44978,9/8/17,2,Gravel,0,0,0,3,0,0,0
2,9,70,Greg,41.42714,-73.44988,9/9/17,2,Gravel,0,0,0,3,0,0,0
2,10,80,Greg,41.42712,-73.44999,9/10/17,1.6,Gravel,0,0,0,4,0,0,0
3,1,0.5,Greg,41.47023,-73.43531,9/11/17,0.2,Sand,0,2,0,0,0,0,0
3,2,5,Greg,41.47023,-73.43523,9/12/17,0.8,Sand,0,0,0,2,0,0,0
3,3,10,Greg,41.47026,-73.4352,9/13/17,1.4,Sand,0,0,0,2,0,0,0
3,4,20,Greg,41.47028,-73.43508,9/14/17,5,Sand,0,0,0,0,0,0,0
3,5,30,Greg,41.47024,-73.4349,9/15/17,12,Silt,0,0,0,0,0,0,0
3,6,40,Greg,41.47035,-73.4348,9/16/17,10,Silt,0,0,0,0,0,0,0
3,7,50,Greg,41.47039,-73.43471,9/17/17,11,Silt,0,0,0,0,0,0,0
3,8,60,Greg,41.47035,-73.4346,9/18/17,10,Silt,0,0,0,0,0,0,0
3,9,70,Greg,41.47046,-73.43453,9/19/17,10,Silt,0,0,0,0,0,0,0
3,10,80,Greg,41.47045,-73.43433,9/20/17,10,Silt,0,0,0,0,0,0,0
4,1,0.5,Greg,41.57123,-73.48843,9/21/17,0.3,Muck,2,0,0,2,0,0,0
4,2,5,Greg,41.57116,-73.48835,9/22/17,0.9,Muck,0,0,0,0,0,0,0
4,3,10,Greg,41.5711,-73.48841,9/23/17,1.2,Muck,1,0,0,1,0,0,0
4,4,20,Greg,41.57097,-73.48849,9/24/17,1.6,Muck,1,0,0,2,0,2,0
4,5,30,Greg,41.57091,-73.48852,9/25/17,1.8,Muck,3,0,0,0,0,2,0
4,6,40,Greg,41.57081,-73.48856,9/26/17,2.1,Silt,4,0,0,0,0,2,0
4,7,50,Greg,41.57072,-73.48864,9/27/17,0,Silt,4,0,0,0,0,2,0
4,8,60,Greg,41.57064,-73.48872,9/28/17,3,Silt,4,0,0,0,0,2,0
4,9,70,Greg,41.57054,-73.4887,9/29/17,3.8,Silt,2,0,0,0,0,2,0
4,10,80,Greg,41.57046,-73.48871,9/30/17,3.9,Silt,2,0,0,0,0,2,0
5,1,0.5,Greg,41.50215,-73.45149,10/1/17,0.2,Sand,0,0,0,0,0,2,0
5,2,5,Greg,41.50217,-73.4516,10/2/17,1,Sand,0,0,0,2,2,2,0
5,3,10,Greg,41.50216,-73.45167,10/3/17,1.2,Sand,0,0,0,2,3,2,0
5,4,20,Greg,41.50215,-73.45177.,10/4/17,2,Sand,0,0,0,4,3,2,0
5,5,30,Greg,41.50217,-73.45188,10/5/17,2.5,Silt,0,0,0,4,3,2,0
5,6,40,Greg,41.5022,-73.452,10/6/17,3.5,Silt,0,0,0,3,3,2,0
5,7,50,Greg,41.50217,-73.45213,10/7/17,4,Silt,0,0,0,3,3,2,0
5,8,60,Greg,41.50212,-73.45224,10/8/17,5,Silt,0,0,0,0,3,2,0
5,9,70,Greg,41.50212,-73.45237,10/9/17,6,Silt,0,0,0,0,3,2,0
5,10,80,Greg,41.50214,-73.45249,10/10/17,3.6,Silt,0,0,0,0,3,2,0
6,1,0.5,Greg,41.51384,-73.45336,10/11/17,0.1,Muck,0,0,2,0,0,2,0
6,2,5,Greg,41.51388,-73.45335,8/21/17,0.5,Muck,0,0,0,3,0,0,0
6,3,10,Greg,41.51396,-73.45335,8/21/17,1/1/00,Muck,0,0,0,0,0,0,0
6,4,20,Greg,41.51404,-73.45337,8/21/17,1.5,Muck,0,0,0,5,0,0,0
6,5,30,Greg,41.51415,-73.45336,8/21/17,2,Silt,0,0,0,5,0,0,0
6,6,40,Greg,41.51423,-73.45336,8/21/17,2.5,Silt,0,0,0,5,0,0,0
6,7,50,Greg,41.51433,-73.45336,8/21/17,2.8,Silt,0,0,0,4,0,0,0
6,8,60,Greg,41.5144,-73.45336,8/21/17,4,Silt,0,0,0,3,0,0,0
6,9,70,Greg,41.51448,-73.45338,8/21/17,5.5,Silt,0,0,0,0,0,0,0
6,10,80,Greg,41.51457,-73.45333,8/21/17,6.5,Silt,0,0,0,0,0,0,0
7,1,0.5,Greg,41.57152,-73.44274,8/21/17,0.2,Rock,0,0,0,0,0,0,0
7,2,5,Greg,41.5715,-73.44276,8/21/17,0.8,Rock,0,0,0,0,0,0,0
7,3,10,Greg,41.5715,-73.44286,8/21/17,2,Sand,0,0,0,0,0,0,0
7,4,20,Greg,41.5715,-73.44301,8/21/17,2.2,Sand,0,0,0,4,0,0,0
7,5,30,Greg,41.57149,-73.44314,8/21/17,3,Silt,0,0,0,4,0,0,0
7,6,40,Greg,41.57146,-73.44319,8/21/17,4.5,Silt,3,0,0,0,0,0,0
7,7,50,Greg,41.57145,-73.44335,8/21/17,8,Silt,3,0,0,0,0,0,0
7,8,60,Greg,41.5714,-73.44346,8/21/17,8,Silt,0,0,0,0,0,0,0
7,9,70,Greg,41.57141,-73.44359,8/21/17,0,Silt,0,0,0,0,0,0,0
7,10,80,Greg,41.57135,-73.44374,8/21/17,10.3,Silt,0,0,0,0,0,0,0
8,1,0.5,Greg,41.51291,-73.44116,8/21/17,0.8,Sand,0,0,0,0,0,0,0
8,2,5,Greg,41.51289,-73.44118,8/21/17,1.3,Sand,0,0,0,0,0,0,0
8,3,10,Greg,41.51284,-73.44116,8/21/17,1.8,Sand,0,0,0,0,0,0,0
