Transect,Point,DFS(m),Surveyor,Lattitude,Longitude,Date,Depth(m),Substrate,CerDem,EleSp,LemMin,MyrSpi,NymOdo,PotFol,SpiPol,ValAme
1,1,0.5,Greg,41.42378,-73.45251,8/29/18,0.2,Muck,0,0,0,0,0,0,0,0
1,2,5,Greg,41.42382,-73.45256,8/29/18,0.5,Muck,0,0,0,3,0,0,0,0
1,3,10,Greg,41.42389,-73.45255,8/29/18,1.2,Muck,0,0,0,2,0,0,0,0
1,4,20,Greg,41.42396,-73.45262,8/29/18,1.7,Silt,0,0,0,2,0,0,0,0
1,5,30,Greg,41.42403,73.45266,8/30/18,1.8,Silt,0,0,0,2,0,0,0,0
1,6,40,Greg,41.42413,-73.4527,8/31/18,2,Silt,0,0,0,2,0,0,0,0
1,7,50,Greg,41.42422,-73.45273,9/1/18,2.2,Silt,0,0,0,2,0,0,0,0
1,8,60,Greg,41.42426,-73.45283,9/2/18,2.3,Silt,2,0,0,2,0,0,0,0
1,9,70,Greg,41.42438,-73.45286,9/3/18,1.7,Gravel,0,0,0,2,0,0,0,0
1,10,80,Greg,41.42447,-73.45285,9/4/18,1.7,Silt,2,0,0,2,0,0,0,0
2,1,0.5,Greg,41.42762,-73.44928,9/5/18,0.3,Rock,0,0,0,0,0,0,0,0
2,2,5,Greg,41.42759,-73.44933,9/6/18,2,Sand,2,0,0,2,0,0,0,0
2,3,10,Greg,41.42755,-73.44935,9/7/18,2.5,Sand,2,0,0,2,0,0,0,0
2,4,20,Greg,41.42753,-73.44946,9/8/18,3.5,Silt,2,0,0,2,0,0,0,0
2,5,30,Greg,41.42747,-73.44954,9/9/18,3.8,Silt,3,0,0,3,0,0,0,0
2,6,40,Greg,41.42738,-73.44965,9/10/18,2.9,Silt,3,0,0,3,0,0,0,0
2,7,50,Greg,41.42731,-73.44967,9/11/18,2.3,Silt,3,0,0,3,0,0,0,0
2,8,60,Greg,41.42721,-73.44976,9/12/18,1.7,Silt,2,0,0,4,0,0,0,0
2,9,70,Greg,41.42718,-73.44989,9/13/18,3.5,Silt,0,0,0,4,0,0,0,0
2,10,80,Greg,41.42706,-73.4499,9/14/18,3.5,Silt,0,0,0,4,0,0,0,0
3,1,0.5,Greg,41.47021,-73.43531,9/15/18,0.4,Gravel,0,1,0,0,0,0,0,0
3,2,5,Greg,41.47022,-73.43524,9/16/18,1.2,Gravel,0,1,0,2,0,0,0,0
3,3,10,Greg,41.47022,-73.43517,9/17/18,2,Sand,0,0,0,3,0,0,0,0
3,4,20,Greg,41.47022,-73.4350S5,9/18/18,4.4,Silt,2,0,0,3,0,0,0,0
3,5,30,Greg,41.47022,-73.43495,9/19/18,8,Silt,0,0,0,0,0,0,0,0
3,6,40,Greg,41.47023,-73.43485,9/20/18,9.1,Silt,0,0,0,0,0,0,0,0
3,7,50,Greg,41.47026,-73.43468,9/21/18,9.3,Silt,0,0,0,0,0,0,0,0
3,8,60,Greg,41.47027,-73.43458,9/22/18,9.5,Silt,0,0,0,0,0,0,0,0
3,9,70,Greg,41.47031,-73.43449,9/23/18,9.7,Silt,0,0,0,0,0,0,0,0
3,10,80,Greg,41.47033,-73.43437,9/24/18,9.5,Silt,0,0,0,0,0,0,0,0
4,1,0.5,Greg,41.57125,-73.48831,9/25/18,0.3,Muck,3,0,2,2,0,0,1,0
4,2,5,Greg,41.57124,-73.48834,9/26/18,0.7,Muck,3,0,0,2,0,0,0,0
4,3,10,Greg,41.57118,-73.48837,9/27/18,1,Muck,3,0,0,2,0,0,0,0
4,4,20,Greg,41.5711,-73.48841,9/28/18,1.5,Muck,2,0,0,2,0,0,0,0
4,5,30,Greg,41.57099,-73.48847,9/29/18,1.6,Muck,2,0,0,2,2,0,0,0
4,6,40,Greg,41.57092,-73.48856,9/30/18,2,Muck,2,0,0,2,0,0,0,0
4,7,50,Greg,41.57085,-73.4886,10/1/18,2,Muck,2,0,0,2,0,0,0,0
4,8,60,Greg,41.57077,-73.48862,10/2/18,2.5,Muck,3,0,0,2,0,0,0,0
4,9,70,Greg,41.57069,-73.48874,10/3/18,3,Muck,3,0,0,2,0,0,0,0
4,10,80,Greg,41.57062,-73.48877,10/4/18,0,Muck,4,0,0,1,0,0,0,0
5,1,0.5,Greg,41.50205,-73.45151,10/5/18,0.3,Gravel,0,0,0,0,0,0,0,0
5,2,5,Greg,41.50204,-73.45158,10/6/18,0.8,Gravel,0,0,0,0,0,0,0,0
5,3,10,Greg,41.50204,-73.45163,10/7/18,1.6,Sand,0,0,0,2,0,0,0,0
5,4,20,Greg,41.50205,-73.45176,10/8/18,2,Sand,0,0,0,4,0,0,0,0
5,5,30,Greg,41.50203,-73.45188,10/9/18,2,Sand,0,0,0,4,0,0,0,0
5,6,40,Greg,41.50197,-73.452,10/10/18,3,Sand,0,0,0,4,0,0,0,0
5,7,50,Greg,41.50197,-73.45212,10/11/18,4,Silt,0,0,0,4,0,0,0,0
5,8,60,Greg,41.50193,-73.45221,10/12/18,4.3,Silt,0,0,0,3,0,0,0,0
5,9,70,Greg,41.50188,-73.4523,10/13/18,4.8,Silt,0,0,0,3,0,0,0,0
5,10,80,Greg,41.50184,-73.45245,10/14/18,4,Silt,0,0,0,3,0,0,0,0
6,1,0.5,Greg,41.51381,-73.45328,10/15/18,0.1,Muck,0,0,3,0,0,0,1,0
6,2,5,Greg,41.51383,-73.45329,8/29/18,0.8,Muck,0,0,2,2,0,0,0,0
6,3,10,Greg,41.51388,-73.45333,8/29/18,1,Muck,0,0,0,2,0,0,0,0
6,4,20,Greg,41.51398,-73.45331,8/29/18,1.2,Muck,0,0,0,3,0,0,0,0
6,5,30,Greg,41.51408,-73.45331,8/29/18,1.8,Muck,0,0,0,4,0,0,0,0
6,6,40,Greg,41.51416,-73.45329,8/29/18,2.1,Sand,0,0,0,3,0,0,0,0
6,7,50,Greg,41.51426,-73.45334,8/29/18,2.2,Sand,0,0,0,3,0,0,0,0
6,8,60,Greg,41.51435,-73.45328,8/29/18,2.4,Sand,0,0,0,3,0,0,0,0
6,9,70,Greg,41.51443,-73.45324,8/29/18,3.5,Sand,0,0,0,2,0,0,0,0
6,10,80,Greg,41.51454,-73.45328,8/29/18,5,Silt,0,0,0,0,0,0,0,0
7,1,0.5,Greg,41.57151,-73.44273,8/28/18,0.2,Rock,0,0,0,0,0,0,0,0
7,2,5,Greg,41.57152,-73.44281,8/28/18,1,Rock,0,0,0,2,0,0,0,0
7,3,10,Greg,41.57151,-73.44287,8/28/18,1.7,Rock,0,0,0,3,0,0,0,0
7,4,20,Greg,41.57153,-73.44297,8/28/18,2.5,Sand,0,0,0,4,0,0,0,0
7,5,30,Greg,41.57154,-73.44309,8/28/18,3,Silt,0,0,0,4,0,0,0,0
7,6,40,Greg,41.57155,-73.44321,38/28/2018,3.5,Silt,0,0,0,4,0,0,0,0
