Transect,Point,DFS(m),Surveyor,Lattitude,Longitude,Date,Depth(m),Substrate,CerDem,ElaSp,EleSp,LemMin,MyrSpi,NajMin,NymOdo,SpaSpp,SpiPol,Typha,ValAme
1,1,0.5,Greg,41.42378,-73.4525,9/8/19,0.2,Sand,2,0,0,0,2,0,0,0,0,0,0
1,2,5,Greg,41.42384,-73.45253,9/8/19,0.5,Sand,2,0,0,0,2,0,0,0,0,0,0
1,3,10,Greg,41.42387,-73.45256,9/8/19,1,Sand,2,0,0,0,2,0,0,0,0,0,0
1,4,20,Greg,41.42397,-73.45257,9/8/19,1.2,Sand,0,0,0,0,1,0,0,0,0,0,0
1,5,30,Greg,41.42406,-73.45257,9/8/19,1.6,Sand,0,0,0,0,2,0,0,0,0,0,0
1,6,40,Greg,41.42414,-73.45263,9/8/19,2,Sand,0,0,0,0,2,0,0,0,0,0,0
1,7,50,Greg,41.42422,-73.45269,9/8/19,2.3,Sand,0,0,0,0,2,0,0,0,0,0,0
1,8,60,Greg,41.42431,-73.45271,9/8/19,15,Sand,0,0,0,0,2,0,0,0,0,0,0
1,9,70,Greg,41.42437,-73.4528,9/8/19,1.7,Sand,0,0,0,0,0,0,0,0,0,0,0
1,10,80,Greg,41.42448,-73.45279,9/8/19,1.8,Sand,0,0,0,0,2,0,0,0,0,0,0
2,1,0.5,Greg,41.42763,-73.44929,9/8/19,0.2,Sand,1,0,2,0,2,0,0,0,0,0,0
2,2,5,Grep,41.42761,-73.44931,9/8/19,1.1,Sand,2,0,2,0,2,0,0,0,0,0,0
2,3,10,Greg,41.4276,-73.44941,9/8/19,2.5,Sand,3,0,2,0,3,0,0,0,0,0,0
2,4,20,Greg,41.42754,-73.44951,9/8/19,3.5,Muck,2,0,2,0,0,0,0,0,0,0,0
2,5,30,Greg,41.4275,-73.44963,9/8/19,3.2,Muck,2,0,2,0,2,0,0,0,0,0,0
2,6,40,Greg,41.42746,-73.44973,9/8/19,2,Muck,2,0,2,0,1,0,0,0,0,0,0
2,7,50,Greg,41.42736,-73.4498,9/8/19,2,Gravel,2,0,0,0,1,0,0,0,0,0,0
2,8,60,Greg,41.42736,-73.44992,9/8/19,3,Gravel,0,0,0,0,2,0,0,0,0,0,0
2,9,70,Greg,41.42728,-73.44996,9/8/19,3.2,Gravel,0,0,0,0,2,0,0,0,0,0,0
2,10,80,Greg,41.42721,-73.45009,9/8/19,3.2,Gravel,0,0,0,0,2,0,0,0,0,0,0
3,1,0.5,Greg,41.47019,-73.43529,9/8/19,0.2,Sand,0,2,2,0,0,0,0,0,0,0,0
3,2,5,Greg,41.47018,-73.43524,9/8/19,1,Sand,0,2,2,0,0,0,0,0,0,0,0
3,3,10,Greg,41.4702,-73.43516,9/8/19,1.9,Sand,0,0,0,0,0,0,0,0,0,0,0
3,4,20,Greg,41.47021,-73.43509,9/8/19,4.5,Sand,2,0,0,0,2,0,0,0,0,0,0
3,5,30,Greg,41.47023,-73.43494,9/8/19,7,Silt,0,0,0,0,0,0,0,0,0,0,0
